Title,City,Address
AGRABAD BRANCH,"House: Banani Complex, 942/A (Gr fl), Area: Agrabad C/A, Road: Sheikh Mujib Road, PO: Bandar, PS: Double Mooring, Dist: Chittagong - 4100.",City/Town: Chattogram
ALFADANGA BRANCH,"Village: Sukurhata, PO: Alfadanga, P.S: Alfadanga Dist: Faridpur-.",City/Town: Khulna
AMBARKHANA BRANCH,"House: B 100, 1st Floor, East Dargha Gate, Airport Road, Ambarkhana, Sylhet",City/Town: Sylhet
Amtali Sub-Branch,"Poura Bhabon ,Holding Number:392,Sadar Road, Ward No:04,Pourashava: Amtali. Thana: Amtali, Dist:Barguna",City/Town: Barguna
ANDARKILLA BRANCH,"Equity Antara. Holding No. 352/536. 1st Floor 123, Momin Road, Kotowali Chattogram-4000",City/Town: Chattogram
ASHULIA BRANCH,House Name:,City/Town: Dhaka-3
ATI BAZAR BRANCH,"Atibazar Branch, Abrar Tower (1st floor), Shahid Nagar,  Dag no: R.S 489, Khatian no : R.S ",City/Town: Dhaka-3
B.B. AVENUE BRANCH,"House: 12 Hasan Building(GR fl & 1st fl), Area: 12 B.B Avenue, PO: GPO, PS: Paltan, Dist: Dhaka - 1000.",City/Town: Dhaka 2
BAGHER BAZAR BRANCH,"Bagher Bazar Branch, Haji Samsuddin & Banesa Market (1st Floor), Shirir Chala, Bagher Bazar Branch, Dag no : R.S ",City/Town: Dhaka 1
BANANI BRANCH,"House: 28(GR fl, 1st fl & 2nd fl), Road: 11, Block: F, Area: Banani, P.O: Banani, P.S: Gulshan, Dist: Dhaka - 1213.",City/Town: Dhaka 1
BANANI LAKE VIEW BRANCH,"Ventura Iconia (1st Floor), Holding  No: 37, Road: 11, Ward: 19, Block: H, P.S: Banani, Dhaka North City Corporation. Dist: Dhaka",City/Town: Dhaka 1
BANASREE SUB BRANCH,"Joypurhat Tower,Holding Number-2 & 3, Blook-F, Banasree  Main Road,Ward No-22,Dhaka North City Corporation, Thana- Khilgao, District –Dhaka",City/Town: Dhaka
BANDAR BAZAR BRANCH,"House: Metro Centre(1st fl), Road: South Dhopadighir Paar,Bandar Bazar East, Area: Sylhet, P.O: Sadar, P.S: Kotwali, Dist: Sylhet - 3100.",City/Town: Sylhet
BANDARTILA BRANCH,"House: 2461 A-Chamber (1st fl), Road: Airport Road, Area: Bandartila, PO: Sailor",City/Town: Chattogram
BANDURA BAZAR BRANCH,"House: Dennis Business Heaven (1st fl), Area: Bandura Bazar PO: Old Bandura, PS: Nawabganj, Dist: Dhaka - 1320.",City/Town: Dhaka-3
BARISHAL BRANCH,"House: 19 Razzak Mansion(1st fl), Area: Barisal, PO: Barisal, PS: Kotwali, Dist: Barisal - 8200.",City/Town: Khulna
BARURA SUB BRANCH,"Miazi Market, Holding Number-34,  Bank road, Ward No-03, Pouroshava- Barura, District -Cumilla",City/Town: Cumilla
Bashundara Branch,"Union Tower (1st Floor), Evercare Hospital Road , Block-A , Bashundhara R/A, Ward No-40, Dhaka South City Corporation, Dhaka",City/Town: Dhaka
BEANI BAZAR BRANCH,"House: (GR fl), Road: Hospital Road, Area: Nayagram, P.O: Beani Bazar, P.S: Beani Bazar, Dist: Sylhet - 3170.",City/Town: Sylhet
BENAPOLE BRANCH,"House: 381, Selim Sumon Super Market (Ground Floor), Jessore Road, P.O.: Benapole, P.S.: Benapole, Dist: Jessore - 7431.",City/Town: Khulna
BHAIRAB BAZAR BRANCH,"House: 129(1st fl), Road: Kali Bari Road, Area: Bhairab Bazar, PO: Bhairab Bazar, PS: Bhairab, Dist: Kishoregonj - 2350.",City/Town: Sylhet
BHATIARY AGRI BRANCH,"House: Rahman Tower, Bhatiary Bazar, Road: Bhatiary Station Road, PO: Sitakunda, PS: Sitakunda, Dist: Chittagong - 4001.",City/Town: Chattogram
BHULTA BRANCH,"Nurjahan Market, Bhulta, Rupgonj, Golakandail, Narayangonj",City/Town: Sylhet
BISWANATH BRANCH,"Rahman Mansion , Dag No-2052(New)1475(old),Khatian No-937(New)890(Old)(Jel87), Mouja-Chandoshir Kapon, Ward No-09, Powroshava- Bishwanath,Upozila- Bishwanath, District- Sylhet",City/Town: Sylhet
BOGURA BRANCH,"Masuma Plaza, Holding No. 766 Rangpur Road, Borogola, Dutta Bari Bogura",City/Town: Bogura
BRAHMANBARIA BRANCH,"House: 1329/1 Razzaque Plaza(1st fl), Area: Kawtali, PO: Brahmanbaria Sadar, PS: Brahmanbaria Sadar, Dist: Brahmanbaria - 3400.",City/Town: Sylhet
CHANDPUR BRANCH,"House: 57/54 Rajanigandha Shoping Centre(1st fl), Road: Comilla Road, Area: Natun Bazar, PO: Chandpur, PS: Chandpur, Dist: Chandpur - 3600.",City/Town: Cumilla
CHAPAINAWABGONJ BRANCH,"House: 11 Jabun Nessa Super Market(1st fl), Road: Godagari Road, Area: Chapainawabgonj, PO: Chapainawabgonj, PS: Chapainawabgonj, Dist: Chapainawabgonj - 6300.",City/Town: Bogura
CHAUDDAGRAM BRANCH," Baitul Maleque Mansion(1st floor), Chauddagram Bazar, Dhaka- Chattogram High Way, Chauddogram, Cumilla. (About 200 Meter away from old location)",City/Town: Cumilla
CHAWKBAZAR BRANCH ,"System Imperial Complex (1st Floor), Kapasgola Road, Ward No:16, Chattogram City Corporation, Thana: Kotowali, District: Chattogram",City/Town: Chattogram
CHAWMUHANI BRANCH,"Chowmuhani Plaza, D.B. Road (1st Floor) ",City/Town: Cumilla
CHHATAK AGRI BRANCH,"House: 28 Tahir Centre(1st fl), Road: Traffic Point, Area: Chhatak Municipality, P.O: Chhatak, P.S: Chhatak, Dist: Sunamganj - 3080.",City/Town: Sylhet
CHONDROGONJ BRANCH,"Lakshmipur, Shahjoki Shopping Complex, Poeshim Bazar, Chondrogonj",City/Town: Cumilla
COX'S BAZAR BRANCH,"House: Ali Noor Plaza(1st fl), Road: Main Road, Area: West Bazarghata, PO: Cox's Bazar, PS: Cox's Bazar Sadar, Dist: Cox's Bazar - 4700.",City/Town: Chattogram
CUMILLA BRANCH,"House: 437 Artisan Nasir Centre(1st fl), Road: Nazrul Avenue,Kandirpar, Area: Comilla, PO: Comilla Sadar, PS: Comilla, Dist: Comilla - 3500.",City/Town: Cumilla
DHAKA DAKSHIN BRANCH,"House: Latif Mansion (1st floor), Road: College Road, PO: Dhaka Dakshin, PS: Golapganj, Dist.: Sylhet, Post Code : 3161",City/Town: Sylhet
DHANMONDI BRANCH,"House: 312 Suvastu Zenim Plaza (2nd fl), Road: 27(Old), 32(New), Area: Dhanmondi R/A, PO: Dhanmondi, PS: Dhanmondi, Dist: Dhaka - 1205.",City/Town: Dhaka-3
DINAJPUR BRANCH,"House: 1067, 1070 & 1078,Mona Tower & Shopping Complex (1st Floor), Area: Modern Moar, Goneshtola PO: Dinajpur, PS: Dinajpur Sadar, Dist: Dinajpur - 5200.",City/Town: Bogura
DOULATGONJ BRANCH,"House: 252(1st fl), Road: Bank Road, Area: Daulatgonj Bazar, PO: Daulatgonj Bazar, PS: Daulatgonj, Dist: Comilla - 3570.",City/Town: Cumilla
Faridpur Branch,"Karim Chamber  (1st  floor), Holding No: 88, Janata Banker More, Mujib Sarak, ward No:15,Pourashava: Faridpur,Thana: Kotwali, District : Faridpur",City/Town: Faridpur
FATIKCHHARI BRANCH,"Fatikchhari Branch, Ananda Tower (1st Floor), Ananda Tower, Jhankar Moor, Mouza : Farhadabad, Puroshova :  Najirhat, Upazila : Fatikchhari, District : Chittagong",City/Town: Chattogram
FENI BRANCH,"188, Sadek Building (1st floor),Road: SSK Road, Area: Feni, PO: Feni, PS: Feni Sadar, Dist: Feni: 3900.",City/Town: Cumilla
FOREIGN EXCHANGE BRANCH,"House: 27 Baitul Hossain Building(GR fl), Area: Dilkusha C/A, PO: Dilkusha, PS: Motijheel, Dist: Dhaka - 1000.",City/Town: Dhaka 2
GAZIPUR AGRI BRANCH,"Jalal Shopping Center. 1st Floor, Board Bazar, National University, Gazipur-1704",City/Town: Dhaka 1
GAZIPUR BRANCH,"House 501, Noljani, Joydevpur, Chandana, Gazipur",City/Town: Dhaka 1
GOBINDAGONJ BRANCH,"1st  floor of ""Parboti Super Market"", Holding No. 0578, Buzruk Boalia, Gobindagonj, (Bogura- Rangpur Highway), Gaibandha-5740.",City/Town: Bogura
GOPALGANJ BRANCH,"Gopalganj Branch, Zaman Tower (1st Floor), Holding No : 116, Saudagor Road, Ward no : 2 , Puroshova :  Gopalganj, Upazila : Gopalganj Sadar, District : Gopalganj",City/Town: Khulna
GOURIPUR BRANCH,"Jasim Tower ,Village : Charmahmuddi , Dag No: 460 ( Hal), Khatian No:BS-99, Mouja: Nayagaou, Thana: Daudkandi , District: Comilla",City/Town: Cumilla
GULSHAN AVENUE BRANCH,"City Bank Center, 136 Gulshan Avenue, Gulshan-2, Dhaka - 1212.",City/Town: Dhaka 1
GULSHAN BRANCH,"“Crystal Palace”, Ground & 1st floor,House-22,Road-140,Gulshan South Avenue,Gulshan-1 Dhaka.",City/Town: Dhaka 1
GULSHAN WOMEN BRANCH,"Gulshan Women Branch Shanta Sky Mark (Ground Floor), Holding No. 18, Gulshan Avenue Road, Ward No. 19, Police Station: Gulshan, Dhaka North City Corporation, District: Dhaka",City/Town: Dhaka 1
HAJIGONJ BRANCH,"House: Royal Rowshan Super Market(1st fl), Road: Main Road, Area: Hajigonj, PO: Hajigonj, PS: Hajigonj, Dist: Chandpur - 1600.",City/Town: Cumilla
HALISHAHAR BRANCH,"C.K. Tower (1st floor), House No.02 & 04, Road No. 03, Lane- 03, Block- K,  Halishahar H/E, Chattogram",City/Town: Chattogram
Hemayetpur Sub Branch,"Makka Tower,Village: Jadurchor,Dag No:RS257,Khatian No:193,Mouja:Bilamalia,Union:Talutjhora,Thana:Savar,Dist:Dhaka",City/Town: Dhaka
HOBIGANJ AGRI BRANCH,"House: 3557/KA Amir Chand Complex(1st fl), Road: Badiuzzaman Khan Road, Area: Hobigonj, PO: Hobiganj, PS: Hobigonj Sadar, Dist: Hobigonj - 3300.",City/Town: Sylhet
IMAMGONJ BRANCH,"173-174 Mitford Road, Imamgonj, PS: Chawkbazar, Dhaka",City/Town: Dhaka 2
ISLAMIC BANKING BRANCH,"Al-Razi Complex (1st floor), 166-167, Shahid Sayed Nazrul Islam 
Sarani, Bijoy Nagar, Purana Paltan, Dhaka
",City/Town: Dhaka 2
ISLAMPUR ROAD BRANCH,"House: 18 Sonar Bangla Market(1st fl), Road: Islampur Road, Area: Islampur, PO: Dhaka Sadar, PS: Kotwali, Dist: Dhaka - 1100.",City/Town: Dhaka 2
JAGANNATHPUR BRANCH,"House: (GR fl), Road: T & T Road, Area: Jagnnathpur, PO: Jagnnathpur, PS: Jagnnathpur, Dist: Sunamgonj - 3060.",City/Town: Sylhet
JAMALPUR AGRI BRANCH,"Kazi Gold Market (1st Floor) Medical Road, Ward No-5, Pourashava- Jamalpur, PS -Jamalpur Sadar, District- Jamalpur.",City/Town: Dhaka 1
JAMUNA FUTURE PARK BRANCH,"Ka-244, Progati Sarani, Ward: 17, Dhaka North City Corporation, P.O.: Bhatara, District: Dhaka",City/Town: Dhaka 1
JASHORE BRANCH,"House: 28-29 R.S Tower(1st fl), Road: M.K Road, Area: Jessore, PO: Jessore, PS: Kotwali, Dist : Jessore - 7400.",City/Town: Khulna
JATRABARI BRANCH,"Noor Tower, Holding No-76/GA, Dhaka-Demra Highway, Ward No-48, Dhaka South City Corporation, PS-Jatrabari, District-Dhaka.",City/Town: Dhaka 2
JOHNSON ROAD BRANCH,"House: 31 Aziz Center(1st fl), Road: Johnson Road, Area: Raishaheb Bazar, PO: Dhaka Sadar, PS: Kotwali, Dist: Dhaka - 1100.",City/Town: Dhaka 2
JOYPARA AGRI BRANCH,"House: 77 Ahmed Shopping Complex(1st fl), Road: 260, Area: Joypara, PO: Joypara, PS: Dohar, Dist: Dhaka - 1330.",City/Town: Dhaka-3
Joypurhat Sub Branch,"Vokto Complex, Dag No:3167/13139, Khatian No:777, Jaipurhat Sadar Batar Mor, Ward No:05, Pourashava: Jaipurhat,Thana: Jaipurhat Sadar,District: Jaipurhat",City/Town: Jaipurhat
JUBILEE ROAD BRANCH,"House: 181 Gulshan Plaza(1st fl), Road: Golap Shing Lane, Area: Chittagong, PO: GPO, PS: Kotwali, Dist: Chittagong - 4000.",City/Town: Chattogram
KABIRHAT BRANCH,"Momtaj Mahal, D.B. Road (1st Floor), Chaprashirhat Bazar, PS: Kabirhat, Dist: Noakhali",City/Town: Cumilla
KACHUA BRANCH,"House: Biponi Polash(GR fl), Road: Hospital Road, Area: Polashpur, PO: Kachua, PS: Kachua, Dist: Chandpur - 3630.",City/Town: Cumilla
KADAMTALI BRANCH,"House: 295 Rahat Centre(1st fl), Road: DT Road, Area: Chittagong, PO: Chittagong Sadar, PS: Double Mooring, Dist: Chittagong - 4000.",City/Town: Chattogram
KALIGONJ BRANCH,"House: Bikrampur Plaza(1st fl), Road: Shahid Delwar Hossain Road, Area: Aganagar,Gudaraghat, PO: Suvaidda,South Keranigonj, PS: Keranigonj, Dist: Dhaka - 1310.",City/Town: Dhaka 2
KALURGHAT BRANCH,"Kalurghat Branch, Holding No :  2898/4561 (1st Floor), Chandgaon, Kaptai Raster Matha, Ward No:  5, Thana :  Chandgaon, Chittagong City Corporation, District : Chittagong",City/Town: Chattogram
KANAIPUR BAZAR BRANCH,"Kanaipur High School, 2 No Market, Kanaipur Sadar, Faridpur",City/Town: Khulna
