SL No,ATM Name,Address
1,"BCS Computer City, Dhaka","BCS Computer City, Shop - SGR-35, IDB Bhaban, E/8-A Rokeya Sharani, Sher-e-Bangla Nagar, Dhaka - 120"
2,"BCS Computer City, Dhaka","BCS Computer City, Shop - SGR-35, IDB Bhaban, E/8-A Rokeya Sharani, Sher-e-Bangla Nagar, Dhaka - 120"
3,"BCS Computer City, Dhaka","BCS Computer City, Shop - SGR-35, IDB Bhaban, E/8-A Rokeya Sharani, Sher-e-Bangla Nagar, Dhaka - 120"
1,"Nagar Konda FT - 1, Savar ATM","Vill: Konda, Nayanagar, Nagar Konda, Savar, Dhaka"
2,"Nagar Konda FT - 2, Savar ATM","Vill: Konda, Nayanagar, Nagar Konda, Savar, Dhaka"
3,"Nagar Konda FT - 3, Savar ATM","Vill: Konda, Nayanagar, Nagar Konda, Savar, Dhaka"
4,Begunbari Road  FT-1 Aminbazar,"Begunbari Road, Amin Bazar, Savar Dhaka."
5,Begunbari Road  FT-2 Aminbazar,"Begunbari Road, Amin Bazar, Savar Dhaka."
6,Begunbari Road  FT-3 Aminbazar,"Begunbari Road, Amin Bazar, Savar Dhaka."
1,Kawla Bazar FT - 4 ATM,"Atiq Complex, Kawla Bazar, Dakkhinkhan, Uttara, Dhaka - 1229"
2,Kawla Bazar FT - 3 ATM,"Atiq Complex, Kawla Bazar, Dakkhinkhan, Uttara, Dhaka - 1229 "
3,Kawla Bazar FT - 1 ATM,"Atiq Complex, Kawla Bazar, Dakkhinkhan, Uttara, Dhaka - 1229 "
4,Kawla Bazar FT - 2 ATM,"Atiq Complex, Kawla Bazar, Dakkhinkhan, Uttara, Dhaka - 1229"
1,"Little Star Spinning - 1, Savar ATM","Little Star Spinning Mills Limited, Chitrasail, Diakhail, Yearpur, Ashulia, Savar, Dhaka"
2,"Little Star Spinning - 2, Savar ATM","Little Star Spinning Mills Limited, Chitrasail, Diakhail, Yearpur, Ashulia, Savar, Dhaka"
3,"Narsingpur FT - 1, Savar ATM","Narsinghapur Bus Stand, Mouza No. - 73, Purbo Narsinghapur, Union: Yearpur, Narsinghpur, Ashulia, Dhaka"
4,"Narsingpur FT - 2, Savar ATM","Narsinghapur Bus Stand, Mouza No. - 73, Purbo Narsinghapur, Union: Yearpur, Narsinghpur, Ashulia, Dhaka"
5,"Narsingpur FT - 3, Savar ATM","Narsinghapur Bus Stand, Mouza No. - 73, Purbo Narsinghapur, Union: Yearpur, Narsinghpur, Ashulia, Dhaka"
6,"Narsingpur FT - 4, Savar ATM","Narsinghapur Bus Stand, Mouza No. - 73, Purbo Narsinghapur, Union: Yearpur, Narsinghpur, Ashulia, Dhaka"
7,Kabirpur Bus Stand FT1 Ashulia,"Kabirpur Bus Stand, Ashulia, Savar, Dhaka."
8,Kabirpur Bus Stand FT2 Ashulia,"Kabirpur Bus Stand, Ashulia, Savar, Dhaka."
9,DIU FT-1 ASHULIA,"Daffodil International University (Permanent Campus), Ashulia Model Town, Dattapara, Ashulia Savar, "
10,DIU FT-2 ASHULIA,"Daffodil International University (Permanent Campus), Ashulia Model Town, Dattapara, Ashulia Savar, "
11,DIU FT-3 ASHULIA,"Daffodil International University (Permanent Campus), Ashulia Model Town, Dattapara, Ashulia Savar, "
12,"Baraipara Branch FT-2, Ashulia","Sufia Mension, Baraipara, Union: Shimulia, Thana: Ashulia, Dist: Dhaka."
13,"Baraipara Branch FT-3, Ashulia","Sufia Mension, Baraipara, Union: Shimulia, Thana: Ashulia, Dist: Dhaka."
14,Razzak Plaza FT-2 Zamgora ATM,"Razzak Plaza shopping Complex, Zamgora, Diakhali, Yearpur, Ashulia, Dhaka."
