SL.,Division,Name,Address
1,DHAKA,113/A GULSHAN ATM,"Overseas Center, Road 113/A, Building 19-20, Gulshan-2, Dhaka."
2,DHAKA,32/2 MIRPUR RD ATM,"Oriental Latimi Shopping Mall, 32/2 Mirpur Road, Newmarket, Dhaka, 1205"
3,CHATTOGRAM,AGRABAD BRANCH ATM,33 Agrabad C. A. Chattogram
4,CHATTOGRAM,AGRABAD BRANCH LOBBY ATM,"33 Agrabad C. A., Chattogram"
5,CHATTOGRAM,AIRPORT RD ATM,"Gawshia Building, 2102 Airport road, CEPZ, Chattogram"
6,CHATTOGRAM,ALONKAR MOOR ATM,"Shop-04, Alonkar Shopping Complex, Alonkar More, Pahartoli, Chattogram."
7,SYLHET,AMBERKHANA ATM,"Shuveccha 11, Dorshon Dewri, Amberkhana, Sylhet"
8,DHAKA,ARAMBAGH ATM,"10/3/1, Toyenbee Circular Road, Motijheel, Dhaka."
9,DHAKA,ARMY GOLF CLUB ATM,"Dhaka Cantonment, Dhaka 1206"
10,DHAKA,ASAD GATE ATM,"Plot-1/11, Block-A, Lalmatia Housing Estate, Mirpur Road, Dhaka"
11,DHAKA,ASHKONA BRANCH ATM,"Hazi Komoruddin Tower 27, Ashkona, Dakshin khan Dhaka-1230"
12,DHAKA,ASHULIA BRANCH ATM,"Ashraf Plaza, DEPZ Road, Jamgora, Ashulia, Savar, Dhaka."
13,DHAKA,AZIMPUR BRANCH ATM,"Tulip Feroza Dream (1st Floor), 104 Azimpur Road, Dhaka"
14,SYLHET,B.BARIA BRANCH ATM,"Malek Khayer Plaza, 95 Paikpara, Jame Masjid Road ( North side of Kumarshil Point), Brahmanbaria."
15,CHATTOGRAM,BAHADDARHAT ATM,"Ghowsia Akbor Tower, 352 Arkan road, Badurtola, Bahaddarhat, Panchlaish, Chattogram)"
16,DHAKA,BAILY ROAD ATM,"Girls Guide House, Baily Road, Dhaka"
17,DHAKA,BANANI BRANCH ATM,"Skylark Mark84, Plot- 84, Road-11, Block- D, Banani, Dhaka-1213"
